,Dialogue,Model,Summary,origin,Annotations,Reference_Summary
57,"[""Hayden: Anyway I have 1 month to write my thesis. And then I need to decide what studies I should choose and I have a problem because I don't know what I can do in the future to make good money"", ""Margaret: You'll find something"", ""Hayden: And the only studies I'm interested in are African studies but I'm not sure I can make big money later on haha except for working in the embassy or something like that. I was thinking about working as a flight attendant. It would be easy for me to get that job since I can swim (and here it's obligatory) I'm even a water rescuer. I know English italian and polish and a bit of german."", 'Margaret: So go ahead for it', ""Hayden: But to be honest , I don't think so that job is so great. I can't work there forever and I'm not that sure I wanna risk every time hahah since flight accidents happen"", ""Margaret: Hahahaha you shouldn't think about that"", ""Hayden: But I don't wanna die hhahahahah"", 'Margaret: It would be good you would get to travel a lot']",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Hayden must write her thesis in 1 month. She wonders what degree course would be the most beneficial for her. She's interested in African studies. Hayden claims she could be a flight attendant as she can swim and knows foreign languages.
58,"[""Hayden: Anyway I have 1 month to write my thesis. And then I need to decide what studies I should choose and I have a problem because I don't know what I can do in the future to make good money"", ""Margaret: You'll find something"", ""Hayden: And the only studies I'm interested in are African studies but I'm not sure I can make big money later on haha except for working in the embassy or something like that. I was thinking about working as a flight attendant. It would be easy for me to get that job since I can swim (and here it's obligatory) I'm even a water rescuer. I know English italian and polish and a bit of german."", 'Margaret: So go ahead for it', ""Hayden: But to be honest , I don't think so that job is so great. I can't work there forever and I'm not that sure I wanna risk every time hahah since flight accidents happen"", ""Margaret: Hahahaha you shouldn't think about that"", ""Hayden: But I don't wanna die hhahahahah"", 'Margaret: It would be good you would get to travel a lot']",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}",Hayden must write her thesis in 1 month. She wonders what degree course would be the most beneficial for her. She's interested in African studies. Hayden claims she could be a flight attendant as she can swim and knows foreign languages.
59,"[""Hayden: Anyway I have 1 month to write my thesis. And then I need to decide what studies I should choose and I have a problem because I don't know what I can do in the future to make good money"", ""Margaret: You'll find something"", ""Hayden: And the only studies I'm interested in are African studies but I'm not sure I can make big money later on haha except for working in the embassy or something like that. I was thinking about working as a flight attendant. It would be easy for me to get that job since I can swim (and here it's obligatory) I'm even a water rescuer. I know English italian and polish and a bit of german."", 'Margaret: So go ahead for it', ""Hayden: But to be honest , I don't think so that job is so great. I can't work there forever and I'm not that sure I wanna risk every time hahah since flight accidents happen"", ""Margaret: Hahahaha you shouldn't think about that"", ""Hayden: But I don't wanna die hhahahahah"", 'Margaret: It would be good you would get to travel a lot']",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Hayden must write her thesis in 1 month. She wonders what degree course would be the most beneficial for her. She's interested in African studies. Hayden claims she could be a flight attendant as she can swim and knows foreign languages.
60,"['Joseph: U there, mate?', 'Albert: Yeah', ""Joseph: Damn, I'm tired af"", 'Albert: Why?', 'Joseph: Had three job interviews in two days', 'Albert: Ouch! So... any impressions?', ""Joseph: I think the first two were more than ok, they seemed really satisfied with my résumé, heh, guess I'll have to choose one"", 'Albert: Were both interviews for jobs at hotels?', ""Joseph: Yeah, I guess I'm gonna be a concierge until the day I die"", 'Albert: O la la! A concierge! With his résumé!', ""Joseph: What's so funny about it?"", 'Albert: It reminded me of that Simpsons episode, you know... ""the GARAGE?! o la dee dah, Mr. Frenchman!""', 'Joseph: Right! ""Well, how do you call it?""', 'Albert: ""A carhole!"" XD', ""Joseph: Lol! Anyway the third interview was ok but I don't know, the woman there didn't seem to like me"", 'Albert: NO WOMAN likes you, Joe!', 'Joseph: Oh, sod off, mate!']",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Joseph was happy with two of the three hotel job interviews he had this week.
61,"['Joseph: U there, mate?', 'Albert: Yeah', ""Joseph: Damn, I'm tired af"", 'Albert: Why?', 'Joseph: Had three job interviews in two days', 'Albert: Ouch! So... any impressions?', ""Joseph: I think the first two were more than ok, they seemed really satisfied with my résumé, heh, guess I'll have to choose one"", 'Albert: Were both interviews for jobs at hotels?', ""Joseph: Yeah, I guess I'm gonna be a concierge until the day I die"", 'Albert: O la la! A concierge! With his résumé!', ""Joseph: What's so funny about it?"", 'Albert: It reminded me of that Simpsons episode, you know... ""the GARAGE?! o la dee dah, Mr. Frenchman!""', 'Joseph: Right! ""Well, how do you call it?""', 'Albert: ""A carhole!"" XD', ""Joseph: Lol! Anyway the third interview was ok but I don't know, the woman there didn't seem to like me"", 'Albert: NO WOMAN likes you, Joe!', 'Joseph: Oh, sod off, mate!']",pegasus,Natacha will pick Charles up at the RER at 5:30 pm. Charles will be at the station Vesinet at 5:30 pm. Charles will call Natacha when he arrives.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('5:30 pm', 'intrinsic', 'CirE')], 'Charles will be at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Joseph was happy with two of the three hotel job interviews he had this week.
62,"['Joseph: U there, mate?', 'Albert: Yeah', ""Joseph: Damn, I'm tired af"", 'Albert: Why?', 'Joseph: Had three job interviews in two days', 'Albert: Ouch! So... any impressions?', ""Joseph: I think the first two were more than ok, they seemed really satisfied with my résumé, heh, guess I'll have to choose one"", 'Albert: Were both interviews for jobs at hotels?', ""Joseph: Yeah, I guess I'm gonna be a concierge until the day I die"", 'Albert: O la la! A concierge! With his résumé!', ""Joseph: What's so funny about it?"", 'Albert: It reminded me of that Simpsons episode, you know... ""the GARAGE?! o la dee dah, Mr. Frenchman!""', 'Joseph: Right! ""Well, how do you call it?""', 'Albert: ""A carhole!"" XD', ""Joseph: Lol! Anyway the third interview was ok but I don't know, the woman there didn't seem to like me"", 'Albert: NO WOMAN likes you, Joe!', 'Joseph: Oh, sod off, mate!']",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Joseph was happy with two of the three hotel job interviews he had this week.
63,"['Joseph: U there, mate?', 'Albert: Yeah', ""Joseph: Damn, I'm tired af"", 'Albert: Why?', 'Joseph: Had three job interviews in two days', 'Albert: Ouch! So... any impressions?', ""Joseph: I think the first two were more than ok, they seemed really satisfied with my résumé, heh, guess I'll have to choose one"", 'Albert: Were both interviews for jobs at hotels?', ""Joseph: Yeah, I guess I'm gonna be a concierge until the day I die"", 'Albert: O la la! A concierge! With his résumé!', ""Joseph: What's so funny about it?"", 'Albert: It reminded me of that Simpsons episode, you know... ""the GARAGE?! o la dee dah, Mr. Frenchman!""', 'Joseph: Right! ""Well, how do you call it?""', 'Albert: ""A carhole!"" XD', ""Joseph: Lol! Anyway the third interview was ok but I don't know, the woman there didn't seem to like me"", 'Albert: NO WOMAN likes you, Joe!', 'Joseph: Oh, sod off, mate!']",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}",Joseph was happy with two of the three hotel job interviews he had this week.
64,"['Joseph: U there, mate?', 'Albert: Yeah', ""Joseph: Damn, I'm tired af"", 'Albert: Why?', 'Joseph: Had three job interviews in two days', 'Albert: Ouch! So... any impressions?', ""Joseph: I think the first two were more than ok, they seemed really satisfied with my résumé, heh, guess I'll have to choose one"", 'Albert: Were both interviews for jobs at hotels?', ""Joseph: Yeah, I guess I'm gonna be a concierge until the day I die"", 'Albert: O la la! A concierge! With his résumé!', ""Joseph: What's so funny about it?"", 'Albert: It reminded me of that Simpsons episode, you know... ""the GARAGE?! o la dee dah, Mr. Frenchman!""', 'Joseph: Right! ""Well, how do you call it?""', 'Albert: ""A carhole!"" XD', ""Joseph: Lol! Anyway the third interview was ok but I don't know, the woman there didn't seem to like me"", 'Albert: NO WOMAN likes you, Joe!', 'Joseph: Oh, sod off, mate!']",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Joseph was happy with two of the three hotel job interviews he had this week.
65,"[""Emma: How was New Year's Eve? :)"", 'Josh: nice, just a bunch of close friends at my place', 'Emma: sounds cosy', 'Josh: yeah we had some wine and played board games', 'Emma: sounds lame :P', 'Josh: haha nope just getting older', 'Josh: huge parties and dance clubs are not that exciting anymore', 'Emma: oh come on you are not 70', 'Josh: not 20 either ;)', 'Emma: haha', 'Josh: how was yours?', 'Josh: I saw some pictures on fb, did you go away?', 'Emma: yeah we drove to the seaside, visited bunch of clubs', 'Emma: ended up on the beach for midnight', ""Josh: wasn't it freezing?"", 'Emma: had my beer jacket on :D', 'Josh: lol', 'Emma: I have a cold now', ""Josh: that's the risk of a beer jacket!""]",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.
66,"[""Emma: How was New Year's Eve? :)"", 'Josh: nice, just a bunch of close friends at my place', 'Emma: sounds cosy', 'Josh: yeah we had some wine and played board games', 'Emma: sounds lame :P', 'Josh: haha nope just getting older', 'Josh: huge parties and dance clubs are not that exciting anymore', 'Emma: oh come on you are not 70', 'Josh: not 20 either ;)', 'Emma: haha', 'Josh: how was yours?', 'Josh: I saw some pictures on fb, did you go away?', 'Emma: yeah we drove to the seaside, visited bunch of clubs', 'Emma: ended up on the beach for midnight', ""Josh: wasn't it freezing?"", 'Emma: had my beer jacket on :D', 'Josh: lol', 'Emma: I have a cold now', ""Josh: that's the risk of a beer jacket!""]",pegasus,Natacha will pick Charles up at the RER at 5:30 pm. Charles will be at the station Vesinet at 5:30 pm. Charles will call Natacha when he arrives.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('5:30 pm', 'intrinsic', 'CirE')], 'Charles will be at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.
67,"[""Emma: How was New Year's Eve? :)"", 'Josh: nice, just a bunch of close friends at my place', 'Emma: sounds cosy', 'Josh: yeah we had some wine and played board games', 'Emma: sounds lame :P', 'Josh: haha nope just getting older', 'Josh: huge parties and dance clubs are not that exciting anymore', 'Emma: oh come on you are not 70', 'Josh: not 20 either ;)', 'Emma: haha', 'Josh: how was yours?', 'Josh: I saw some pictures on fb, did you go away?', 'Emma: yeah we drove to the seaside, visited bunch of clubs', 'Emma: ended up on the beach for midnight', ""Josh: wasn't it freezing?"", 'Emma: had my beer jacket on :D', 'Josh: lol', 'Emma: I have a cold now', ""Josh: that's the risk of a beer jacket!""]",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.
68,"[""Emma: How was New Year's Eve? :)"", 'Josh: nice, just a bunch of close friends at my place', 'Emma: sounds cosy', 'Josh: yeah we had some wine and played board games', 'Emma: sounds lame :P', 'Josh: haha nope just getting older', 'Josh: huge parties and dance clubs are not that exciting anymore', 'Emma: oh come on you are not 70', 'Josh: not 20 either ;)', 'Emma: haha', 'Josh: how was yours?', 'Josh: I saw some pictures on fb, did you go away?', 'Emma: yeah we drove to the seaside, visited bunch of clubs', 'Emma: ended up on the beach for midnight', ""Josh: wasn't it freezing?"", 'Emma: had my beer jacket on :D', 'Josh: lol', 'Emma: I have a cold now', ""Josh: that's the risk of a beer jacket!""]",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}",Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.
69,"[""Emma: How was New Year's Eve? :)"", 'Josh: nice, just a bunch of close friends at my place', 'Emma: sounds cosy', 'Josh: yeah we had some wine and played board games', 'Emma: sounds lame :P', 'Josh: haha nope just getting older', 'Josh: huge parties and dance clubs are not that exciting anymore', 'Emma: oh come on you are not 70', 'Josh: not 20 either ;)', 'Emma: haha', 'Josh: how was yours?', 'Josh: I saw some pictures on fb, did you go away?', 'Emma: yeah we drove to the seaside, visited bunch of clubs', 'Emma: ended up on the beach for midnight', ""Josh: wasn't it freezing?"", 'Emma: had my beer jacket on :D', 'Josh: lol', 'Emma: I have a cold now', ""Josh: that's the risk of a beer jacket!""]",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.
70,"[""Matthew: I have a cold. Need y'all support. It's painful"", 'Lisa: Fight it. Drink orange juice. Make some soup', ""Matthew: I'll try"", 'Lisa: I believe in u', ""Matthew: Thank u. Apparently it's an allergy mixed up with virus"", 'Lisa: Ahh it sucks.', 'Lisa: Take a rest from evrthg.', 'Matthew: Ikr. Hitting the hay now', ""Lisa: Good night 'Thew!""]",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Matthew has a cold. He will drink some orange juice and go to sleep.
71,"[""Matthew: I have a cold. Need y'all support. It's painful"", 'Lisa: Fight it. Drink orange juice. Make some soup', ""Matthew: I'll try"", 'Lisa: I believe in u', ""Matthew: Thank u. Apparently it's an allergy mixed up with virus"", 'Lisa: Ahh it sucks.', 'Lisa: Take a rest from evrthg.', 'Matthew: Ikr. Hitting the hay now', ""Lisa: Good night 'Thew!""]",pegasus,Natacha will pick Charles up at the RER at 5:30 pm. Charles will be at the station Vesinet at 5:30 pm. Charles will call Natacha when he arrives.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('5:30 pm', 'intrinsic', 'CirE')], 'Charles will be at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Matthew has a cold. He will drink some orange juice and go to sleep.
72,"[""Matthew: I have a cold. Need y'all support. It's painful"", 'Lisa: Fight it. Drink orange juice. Make some soup', ""Matthew: I'll try"", 'Lisa: I believe in u', ""Matthew: Thank u. Apparently it's an allergy mixed up with virus"", 'Lisa: Ahh it sucks.', 'Lisa: Take a rest from evrthg.', 'Matthew: Ikr. Hitting the hay now', ""Lisa: Good night 'Thew!""]",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Matthew has a cold. He will drink some orange juice and go to sleep.
73,"[""Matthew: I have a cold. Need y'all support. It's painful"", 'Lisa: Fight it. Drink orange juice. Make some soup', ""Matthew: I'll try"", 'Lisa: I believe in u', ""Matthew: Thank u. Apparently it's an allergy mixed up with virus"", 'Lisa: Ahh it sucks.', 'Lisa: Take a rest from evrthg.', 'Matthew: Ikr. Hitting the hay now', ""Lisa: Good night 'Thew!""]",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}",Matthew has a cold. He will drink some orange juice and go to sleep.
74,"[""Matthew: I have a cold. Need y'all support. It's painful"", 'Lisa: Fight it. Drink orange juice. Make some soup', ""Matthew: I'll try"", 'Lisa: I believe in u', ""Matthew: Thank u. Apparently it's an allergy mixed up with virus"", 'Lisa: Ahh it sucks.', 'Lisa: Take a rest from evrthg.', 'Matthew: Ikr. Hitting the hay now', ""Lisa: Good night 'Thew!""]",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Matthew has a cold. He will drink some orange juice and go to sleep.
75,"['Don: The CSS tests are today.', 'Hank: I know! Have you registered in their system?', 'Don: No, not yet.', ""Hank: I'm not sure if I have to fill out all the fields. Most of them don't even apply to Rodney. It's strange that they're incorporating such professional tests for little leaguers."", ""Don: Hmm... I don't know. I'll check it later tonight when I get home. Apparently it's supposed to be a database of all the young up-and-coming hockey stars. Scouts use that information for future contracts, etc."", ""Hank: OK, but our kids are 10 years old! They're not signing any contracts for now :)"", ""Don: Well, obviously not, but it's kind of cool that they'll be in a world database of peewee hockey players."", ""Hank: Yeah, I guess. So apparently the tests are supposed to last 5-8 pm. 3 hours! I'll probably wait and work on the computer."", 'Don: Bring a blanket :) It can get mighty cold sitting in a rink for 3 hours.', 'Hank: No shit :) Are you coming.', ""Don: Well, since you're going anyway, maybe you can take my kid :)"", ""Hank: Hey, that's not fair!"", ""Don: I'll take the kids next time, I promise!"", ""Hank: Yeah, yeah, we'll see. I'll tell you about the tests when I bring Oscar and Roger back."", 'Don: Ok, thanks again, I owe you.']",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}","The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad."
76,"['Don: The CSS tests are today.', 'Hank: I know! Have you registered in their system?', 'Don: No, not yet.', ""Hank: I'm not sure if I have to fill out all the fields. Most of them don't even apply to Rodney. It's strange that they're incorporating such professional tests for little leaguers."", ""Don: Hmm... I don't know. I'll check it later tonight when I get home. Apparently it's supposed to be a database of all the young up-and-coming hockey stars. Scouts use that information for future contracts, etc."", ""Hank: OK, but our kids are 10 years old! They're not signing any contracts for now :)"", ""Don: Well, obviously not, but it's kind of cool that they'll be in a world database of peewee hockey players."", ""Hank: Yeah, I guess. So apparently the tests are supposed to last 5-8 pm. 3 hours! I'll probably wait and work on the computer."", 'Don: Bring a blanket :) It can get mighty cold sitting in a rink for 3 hours.', 'Hank: No shit :) Are you coming.', ""Don: Well, since you're going anyway, maybe you can take my kid :)"", ""Hank: Hey, that's not fair!"", ""Don: I'll take the kids next time, I promise!"", ""Hank: Yeah, yeah, we'll see. I'll tell you about the tests when I bring Oscar and Roger back."", 'Don: Ok, thanks again, I owe you.']",pegasus,Natacha will pick Charles up at the RER at 5:30 pm. Charles will be at the station Vesinet at 5:30 pm. Charles will call Natacha when he arrives.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('5:30 pm', 'intrinsic', 'CirE')], 'Charles will be at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}","The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad."
77,"['Don: The CSS tests are today.', 'Hank: I know! Have you registered in their system?', 'Don: No, not yet.', ""Hank: I'm not sure if I have to fill out all the fields. Most of them don't even apply to Rodney. It's strange that they're incorporating such professional tests for little leaguers."", ""Don: Hmm... I don't know. I'll check it later tonight when I get home. Apparently it's supposed to be a database of all the young up-and-coming hockey stars. Scouts use that information for future contracts, etc."", ""Hank: OK, but our kids are 10 years old! They're not signing any contracts for now :)"", ""Don: Well, obviously not, but it's kind of cool that they'll be in a world database of peewee hockey players."", ""Hank: Yeah, I guess. So apparently the tests are supposed to last 5-8 pm. 3 hours! I'll probably wait and work on the computer."", 'Don: Bring a blanket :) It can get mighty cold sitting in a rink for 3 hours.', 'Hank: No shit :) Are you coming.', ""Don: Well, since you're going anyway, maybe you can take my kid :)"", ""Hank: Hey, that's not fair!"", ""Don: I'll take the kids next time, I promise!"", ""Hank: Yeah, yeah, we'll see. I'll tell you about the tests when I bring Oscar and Roger back."", 'Don: Ok, thanks again, I owe you.']",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}","The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad."
78,"['Don: The CSS tests are today.', 'Hank: I know! Have you registered in their system?', 'Don: No, not yet.', ""Hank: I'm not sure if I have to fill out all the fields. Most of them don't even apply to Rodney. It's strange that they're incorporating such professional tests for little leaguers."", ""Don: Hmm... I don't know. I'll check it later tonight when I get home. Apparently it's supposed to be a database of all the young up-and-coming hockey stars. Scouts use that information for future contracts, etc."", ""Hank: OK, but our kids are 10 years old! They're not signing any contracts for now :)"", ""Don: Well, obviously not, but it's kind of cool that they'll be in a world database of peewee hockey players."", ""Hank: Yeah, I guess. So apparently the tests are supposed to last 5-8 pm. 3 hours! I'll probably wait and work on the computer."", 'Don: Bring a blanket :) It can get mighty cold sitting in a rink for 3 hours.', 'Hank: No shit :) Are you coming.', ""Don: Well, since you're going anyway, maybe you can take my kid :)"", ""Hank: Hey, that's not fair!"", ""Don: I'll take the kids next time, I promise!"", ""Hank: Yeah, yeah, we'll see. I'll tell you about the tests when I bring Oscar and Roger back."", 'Don: Ok, thanks again, I owe you.']",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}","The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad."
79,"['Don: The CSS tests are today.', 'Hank: I know! Have you registered in their system?', 'Don: No, not yet.', ""Hank: I'm not sure if I have to fill out all the fields. Most of them don't even apply to Rodney. It's strange that they're incorporating such professional tests for little leaguers."", ""Don: Hmm... I don't know. I'll check it later tonight when I get home. Apparently it's supposed to be a database of all the young up-and-coming hockey stars. Scouts use that information for future contracts, etc."", ""Hank: OK, but our kids are 10 years old! They're not signing any contracts for now :)"", ""Don: Well, obviously not, but it's kind of cool that they'll be in a world database of peewee hockey players."", ""Hank: Yeah, I guess. So apparently the tests are supposed to last 5-8 pm. 3 hours! I'll probably wait and work on the computer."", 'Don: Bring a blanket :) It can get mighty cold sitting in a rink for 3 hours.', 'Hank: No shit :) Are you coming.', ""Don: Well, since you're going anyway, maybe you can take my kid :)"", ""Hank: Hey, that's not fair!"", ""Don: I'll take the kids next time, I promise!"", ""Hank: Yeah, yeah, we'll see. I'll tell you about the tests when I bring Oscar and Roger back."", 'Don: Ok, thanks again, I owe you.']",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}","The CSS tests for the hockey players are today and will last 3 hours, starting 5pm. Hank will bring his son and Don's son as well. Don is glad."
80,"['Janice: my son has been asking me to get him a hamster for his birthday', 'Janice: should i?', 'Martina: NO! NO! NO! NO! NO!', 'Martina: i got one for my son and it stank up the whole house', ""Martina: so don't do it!!!""]",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Martina advises against getting a hamster. 
81,"['Janice: my son has been asking me to get him a hamster for his birthday', 'Janice: should i?', 'Martina: NO! NO! NO! NO! NO!', 'Martina: i got one for my son and it stank up the whole house', ""Martina: so don't do it!!!""]",pegasus,Natacha will pick Charles up at the RER at 5:30 pm. Charles will be at the station Vesinet at 5:30 pm. Charles will call Natacha when he arrives.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('5:30 pm', 'intrinsic', 'CirE')], 'Charles will be at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Martina advises against getting a hamster. 
82,"['Janice: my son has been asking me to get him a hamster for his birthday', 'Janice: should i?', 'Martina: NO! NO! NO! NO! NO!', 'Martina: i got one for my son and it stank up the whole house', ""Martina: so don't do it!!!""]",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Martina advises against getting a hamster. 
83,"['Janice: my son has been asking me to get him a hamster for his birthday', 'Janice: should i?', 'Martina: NO! NO! NO! NO! NO!', 'Martina: i got one for my son and it stank up the whole house', ""Martina: so don't do it!!!""]",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}",Martina advises against getting a hamster. 
84,"['Janice: my son has been asking me to get him a hamster for his birthday', 'Janice: should i?', 'Martina: NO! NO! NO! NO! NO!', 'Martina: i got one for my son and it stank up the whole house', ""Martina: so don't do it!!!""]",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Martina advises against getting a hamster. 
85,"['Whitney: Hello', 'Hailey:  Hey', 'Whitney: Have you been to I-max cinemas?', 'Hailey: Nop', 'Hailey:  You planning on taking me?', 'Whitney: Mmmh maybe', 'Whitney: But it all depends if you will be available the day Aqua man is being released', ""Hailey:  I'll break the laws to make time for it😂"", 'Whitney: Haha. Then it is a deal', 'Hailey:  Cool.', 'Whitney: Before I forget Shadrack and his girlfriend will be accompanying us', 'Hailey:  Even better.', 'Whitney: Fine. I guess I will see you then.', 'Hailey:  Definitely']",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Hailey hasn't been to I-max cinema yet and Whitney wants to take her to one to watch Aquaman. Hailey'll do everything to find some time for it. Whitney informs Hailey that Shadrack and his girlfriend are going with them.
